UE ID,Internet usage,Data rate,optimal GU
1,2592.2596961540003,339.46257925826194,938.0699134732312
2,3136.087021907,410.6780623925833,1134.8665743827746
3,2753.688978069,360.60212808046424,996.4868817818929
4,2957.9194759049997,387.3465980351785,1070.3924729994133
5,2590.8053899929996,339.2721344038452,937.5436387112397
6,2666.887348836,349.23524806185713,965.075678288376
7,2872.551133831,376.1674103826309,1039.499938049492
8,2462.360916054,322.45202472135713,891.0629960762303
9,2597.462312204,340.1438742171905,939.9526019998084
10,2602.389768823,340.7891363934881,941.7357176386798
11,2677.014370283,350.56140563229764,968.7403782976472
12,2418.0736016929995,316.65249545979754,875.0365936242603
13,2771.071741328,362.8784423167619,1002.7772419840318
14,2730.3804539139996,357.5498213458809,988.0521461457568
15,2621.6555713580005,343.3120391064048,948.7074997266449
16,2599.629052238,340.4276139835476,940.7366876526575
17,2622.3917433919996,343.40844258704755,948.9739008272983
18,2788.534323045,365.1652089701785,1009.0964863655223
19,2777.5965356459997,363.7328796679285,1005.1383916984672
20,2607.895223837,341.5100888357976,943.7279955405721
